symbol,spike_ts_utc,spike_ts,direction,jump,ratio,atr,price_vs_ema200_pct,spike_cluster,bot_entered,block_reason,had_open_pos,matched_trade,matched_trade_result,matched_trade_side,favorable_for_open_trade,matched_trade_contract_id
BOOM1000,2026-05-26T14:25:34.404719+00:00,1779805534.4047186,UP,21.072,133.15,0.15826,,False,False,trade_cooldown,False,False,,,,
BOOM1000,2026-05-26T14:34:08.225415+00:00,1779806048.2254148,UP,18.033,128.39,0.14046,0.00125,False,False,trade_cooldown,False,True,win,MULTUP,True,836519799
BOOM1000,2026-05-26T14:37:47.200869+00:00,1779806267.200869,UP,12.496,124.51,0.10036,0.00083,True,False,trade_cooldown,False,False,,,,
BOOM1000,2026-05-26T14:38:31.836679+00:00,1779806311.836679,UP,18.033,1354.11,0.01332,0.00125,False,False,post_spike_chase_guard:46t<210t,False,False,,,,
BOOM1000,2026-05-26T14:38:31.855582+00:00,1779806311.8555825,UP,12.496,891.25,0.01402,0.00083,True,False,post_spike_chase_guard:48t<210t,False,False,,,,
BOOM1000,2026-05-26T14:38:42.746461+00:00,1779806322.7464607,UP,18.033,1327.3,0.01359,0.00125,False,False,post_spike_chase_guard:57t<210t,False,False,,,,
BOOM1000,2026-05-26T14:38:42.760883+00:00,1779806322.760883,UP,12.496,897.43,0.01392,0.00083,True,False,post_spike_chase_guard:96t<210t,False,False,,,,
BOOM1000,2026-05-26T14:39:25.182898+00:00,1779806365.1828976,UP,19.051,134.33,0.14182,0.00167,True,False,post_spike_chase_guard:204t<210t,False,False,,,,
BOOM1000,2026-05-26T14:42:56.747381+00:00,1779806576.7473807,UP,18.033,1326.63,0.01359,0.00125,False,False,obs_window_blocked:90s,False,False,,,,
BOOM1000,2026-05-26T14:42:56.765735+00:00,1779806576.7657347,UP,12.496,895.22,0.01396,0.00083,True,False,"AI_VETO: Although the mathematical score is high and the Hurst exponent is within the acceptable range, the dynamic score ceiling of 5.3 and the symbol bleed bonus requiring a score of 6.0 for approval with confidence >= 0.75 prevent approval at this confidence level. | adaptive:baseline [cached]",False,False,,,,
BOOM1000,2026-05-26T14:42:56.778409+00:00,1779806576.7784085,UP,19.051,1387.44,0.01373,0.00167,True,False,trade_cooldown,False,False,,,,
