symbol,side,entry_time_utc,exit_time_utc,opened_at_ts,closed_at_ts,duration_sec,stake_usdt,pnl_usdt,result,exit_reason,closed_by,contract_id,max_hold_seconds,spread_at_entry,ema200_distance_at_entry_pct,score_raw,effective_min_score,score_margin,trend,momentum,stability,atr_score,atr_pct,hurst,regime,setup_type,fvg_tier,geo_channel_pos,geo_slope_pct,dynamic_score_min,dynamic_score_ceiling,dynamic_cfg_regime,execution_grade,ema200_dev_pct,ema_state,ema_trade_alignment,ctx_regime,ctx_atr,ctx_atr_percentile,ctx_hurst,ctx_ema200_distance_pct,ctx_ticks_since_last_spike,ctx_spike_cluster_active,ctx_delta_s,ai_approved,ai_confidence,ai_score,ai_hurst,ai_autocorr,ai_vol_regime,ai_model,ai_delta_s,spikes_during_trade,favorable_spikes_during,adverse_spikes_during,first_favorable_spike_delay_s,first_adverse_spike_delay_s,spike_cluster_seen_during,last_spike_before_open_delay_s,last_spike_before_open_dir
BOOM600,MULTUP,2026-05-26T14:07:29.718961+00:00,2026-05-26T14:25:22.582649+00:00,1779804449.7189612,1779805522.5826485,1072.864,1.5,-0.54,loss,broker_sl_hit,ws_event,835515779,0.0,1e-05,-0.0141,5.905,5.8,0.10500000000000043,1.5,1.07,0.75,1.19,2e-06,0.493,trending,TREND,dynamic_soft_veto_no_fvg,-0.311,-0.00011,5.3,5.3,NORMAL,C,-0.0141,below_ema200,False,,,,,,,,,,,,,,,,,0,0,0,,,False,,
BOOM600,MULTUP,2026-05-26T14:35:51.312214+00:00,2026-05-26T14:53:19.445443+00:00,1779806151.3122137,1779807199.4454427,1048.133,1.5,-0.54,loss,broker_sl_hit,ws_event,836793039,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.008538,45.0,0.505,-0.00014,361.0,False,9.876213550567627,,,,,,,,,4,4,0,160.69303274154663,,False,371.0965588092804,UP
BOOM600,MULTUP,2026-05-26T14:56:22.198574+00:00,2026-05-26T15:16:38.360249+00:00,1779807382.198574,1779808598.3602488,1216.162,1.08,-0.39,loss,broker_sl_hit,ws_event,837902059,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.008331,33.0,0.4364,-0.00013,1593.0,True,7.454574108123779,,,,,,,,,3,3,0,141.01783514022827,,False,728.0507073402405,UP
BOOM600,MULTUP,2026-05-26T15:16:41.884270+00:00,2026-05-26T15:56:26.325849+00:00,1779808601.8842704,1779810986.3258493,2384.442,1.08,-0.39,loss,broker_sl_hit,ws_event,838929619,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.009924,53.0,0.4939,-0.00015,1072.0,True,5.468270540237427,,,,,,,,,3,3,0,649.3509769439697,,True,845.6286380290985,UP
BOOM600,MULTUP,2026-05-27T03:40:41.590543+00:00,2026-05-27T03:53:53.271876+00:00,1779853241.5905426,1779854033.271876,791.681,1.5,-0.27,loss,open_prob_exit:prob=0.220<=0.220|pnl=-0.2700<=0.0200|atr_ratio=0.074|cycle=0.80,ws_event,867044199,0.0,1e-05,-0.0158,6.08,5.8,0.28000000000000025,1.5,1.5,0.75,1.88,2e-06,0.489,trending,TREND,dynamic_soft_veto_no_fvg,-0.658,-3e-05,5.3,5.3,SLOW,C,-0.0158,below_ema200,False,normal,0.010103,86.0,0.488,-0.00014,236.0,False,58.8415424823761,,,,,,,,,1,1,0,308.5983371734619,,False,295.3871009349823,UP
BOOM600,MULTUP,2026-05-27T03:58:16.406570+00:00,2026-05-27T04:06:17.762387+00:00,1779854296.4065697,1779854777.762387,481.356,1.5,0.2,win,timeout_multispike,heartbeat_poll,867549839,0.0,1e-05,-0.0023,9.166,5.8,3.3660000000000005,1.5,1.43,0.75,1.19,2e-06,0.478,trending,SMC_FVG,fvg_mitigated,-0.115,4e-05,5.3,5.3,NORMAL,A,-0.0023,below_ema200,False,normal,0.009986,65.0,0.4835,2e-05,147.0,False,33.865569829940796,,,,,,,,,1,1,0,434.8113696575165,,False,181.23799347877502,UP
BOOM600,MULTUP,2026-05-27T04:10:57.813670+00:00,2026-05-27T04:25:50.390743+00:00,1779855057.8136704,1779855950.3907433,892.577,1.5,-0.36,loss,open_prob_exit:prob=0.220<=0.220|pnl=-0.3600<=0.0200|atr_ratio=0.092|cycle=0.78,ws_event,867948519,0.0,1e-05,-0.0053,7.412,5.8,1.612,1.5,0.85,0.75,0.51,2e-06,0.473,trending,SMC_FVG,fvg_mitigated,-0.751,0.00044,5.3,5.3,NORMAL,B,-0.0053,below_ema200,False,normal,0.010359,48.0,0.4729,-3e-05,166.0,True,15.274670362472534,,,,,,,,,1,1,0,421.38337898254395,,False,181.59015774726868,UP
BOOM600,MULTUP,2026-05-27T04:32:04.808578+00:00,2026-05-27T04:41:24.938596+00:00,1779856324.8085778,1779856884.938596,560.13,1.5,0.25,win,timeout_multispike,reaper_poll,868640979,0.0,1e-05,-0.0132,6.026,5.8,0.22599999999999998,1.5,1.19,0.75,1.89,2e-06,0.49,trending,TREND,dynamic_soft_veto_no_fvg,-0.539,-0.00015,5.3,5.3,NORMAL,C,-0.0132,below_ema200,False,normal,0.008772,44.0,0.4902,-0.00013,823.0,False,22.604577779769897,,,,,,,,,2,2,0,302.3755922317505,,True,845.6115283966064,UP
BOOM600,MULTUP,2026-05-27T04:43:39.692972+00:00,2026-05-27T04:56:56.395055+00:00,1779857019.6929722,1779857816.3950553,796.702,1.5,-0.23,loss,open_prob_exit:prob=0.219<=0.220|pnl=-0.2300<=0.0200|atr_ratio=0.081|cycle=0.82,ws_event,868986179,0.0,1e-05,0.0123,8.61,5.8,2.8099999999999996,1.5,0.99,0.75,1.57,2e-06,0.495,trending,SMC_FVG,fvg_mitigated,-0.145,0.00033,5.3,5.3,NORMAL,A,0.0123,above_ema200,True,normal,0.010283,45.0,0.4941,0.00034,124.0,True,57.107972145080566,,,,,,,,,1,1,0,302.51737427711487,,False,181.47445511817932,UP
BOOM600,MULTUP,2026-05-27T04:58:04.853463+00:00,2026-05-27T05:10:24.488170+00:00,1779857884.8534634,1779858624.4881701,739.635,1.5,0.6,win,timeout_multispike,heartbeat_poll,869425319,0.0,1e-05,-0.0146,5.32,3.5,1.8200000000000003,1.5,1.12,0.75,1.0,1e-06,0.498,calm,TREND,dynamic_soft_veto_no_fvg,-0.63,-0.00016,5.3,5.3,NORMAL,C,-0.0146,below_ema200,False,normal,0.013359,91.0,0.4891,-0.00016,540.0,False,22.04546332359314,,,,,,,,,3,3,0,151.3510925769806,,True,562.6431169509888,UP
