symbol,side,entry_time_utc,exit_time_utc,opened_at_ts,closed_at_ts,duration_sec,stake_usdt,pnl_usdt,result,exit_reason,closed_by,contract_id,max_hold_seconds,spread_at_entry,ema200_distance_at_entry_pct,score_raw,effective_min_score,score_margin,trend,momentum,stability,atr_score,atr_pct,hurst,regime,setup_type,fvg_tier,geo_channel_pos,geo_slope_pct,dynamic_score_min,dynamic_score_ceiling,dynamic_cfg_regime,execution_grade,ema200_dev_pct,ema_state,ema_trade_alignment,ctx_regime,ctx_atr,ctx_atr_percentile,ctx_hurst,ctx_ema200_distance_pct,ctx_ticks_since_last_spike,ctx_spike_cluster_active,ctx_delta_s,ai_approved,ai_confidence,ai_score,ai_hurst,ai_autocorr,ai_vol_regime,ai_model,ai_delta_s,spikes_during_trade,favorable_spikes_during,adverse_spikes_during,first_favorable_spike_delay_s,first_adverse_spike_delay_s,spike_cluster_seen_during,last_spike_before_open_delay_s,last_spike_before_open_dir
CRASH500,MULTDOWN,2026-05-26T14:23:47.081298+00:00,2026-05-26T14:54:11.445215+00:00,1779805427.0812984,1779807251.445215,1824.364,1.44,-0.52,loss,broker_sl_hit,ws_event,836237019,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.005731,64.0,0.4802,0.00015,419.0,True,49.8502984046936,,,,,,,,,11,11,0,107.39578604698181,,True,468.8862247467041,DOWN
CRASH500,MULTDOWN,2026-05-26T15:18:39.245704+00:00,2026-05-26T15:32:38.424827+00:00,1779808719.2457044,1779809558.4248273,839.179,1.6,-0.58,loss,broker_sl_hit,ws_event,839026299,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.006821,60.0,0.4787,0.00018,491.0,False,2.869704484939575,,,,,,,,,2,2,0,46.39461350440979,,False,494.0214259624481,DOWN
CRASH500,MULTDOWN,2026-05-26T15:34:51.516819+00:00,2026-05-26T15:48:44.986351+00:00,1779809691.5168192,1779810524.986351,833.47,1.73,-0.62,loss,broker_sl_hit,ws_event,839811399,0.0,1e-05,0.0165,5.848,5.8,0.04800000000000004,1.5,1.07,0.75,1.88,2e-06,0.478,trending,TREND,dynamic_soft_veto_no_fvg,-0.626,0.00021,5.3,5.3,SLOW,C,0.0165,above_ema200,False,normal,0.006428,93.0,0.4774,0.00016,1430.0,True,34.82481932640076,,,,,,,,,0,0,0,,,False,695.534765958786,DOWN
CRASH500,MULTDOWN,2026-05-26T16:21:00.804696+00:00,2026-05-26T16:41:36.561698+00:00,1779812460.8046963,1779813696.5616982,1235.757,1.8,0.21,win,timeout_multispike,ws_event,841789419,0.0,1e-05,0.0167,5.9,5.8,0.10000000000000053,1.5,0.86,0.75,1.89,2e-06,0.48,trending,TREND,dynamic_soft_veto_no_fvg,0.3,9e-05,5.3,5.3,NORMAL,C,0.0167,above_ema200,False,normal,0.006993,91.0,0.4795,0.00017,418.0,False,41.59969639778137,,,,,,,,,3,3,0,725.4620568752289,,True,459.5645091533661,DOWN
CRASH500,MULTDOWN,2026-05-26T17:01:52.630869+00:00,2026-05-26T17:06:50.422417+00:00,1779814912.6308694,1779815210.422417,297.792,2.0,0.27,win,timeout_multispike,ws_event,843731379,0.0,1e-05,0.0174,5.871,5.8,0.07100000000000062,1.5,0.85,0.75,1.87,2e-06,0.497,trending,TREND,dynamic_soft_veto_no_fvg,-0.057,0.00021,5.3,5.3,NORMAL,C,0.0174,above_ema200,False,normal,0.006545,57.0,0.4969,0.00017,463.0,True,33.13586950302124,,,,,,,,,1,1,0,250.65126585960388,,False,496.35748648643494,DOWN
CRASH500,MULTDOWN,2026-05-26T17:28:06.895616+00:00,2026-05-26T17:31:17.441825+00:00,1779816486.8956163,1779816677.4418247,190.546,1.8,0.18,win,timeout_multispike,ws_event,844984099,0.0,1e-05,0.0166,5.922,5.8,0.12199999999999989,1.5,0.96,0.75,1.61,2e-06,0.447,trending,TREND,dynamic_soft_veto_no_fvg,0.286,0.0002,5.3,5.3,NORMAL,C,0.0166,above_ema200,False,normal,0.005207,5.0,0.5197,0.00017,482.0,True,24.565616369247437,,,,,,,,,1,1,0,143.30673623085022,,False,506.68971848487854,DOWN
CRASH500,MULTDOWN,2026-05-26T17:38:51.123319+00:00,2026-05-26T17:39:44.733443+00:00,1779817131.1233187,1779817184.7334425,53.61,1.8,0.61,win,timeout_multispike,reaper_poll,845495339,0.0,1e-05,0.0154,4.93,3.5,1.4299999999999997,1.5,0.78,0.75,1.0,1e-06,0.498,calm,TREND,dynamic_soft_veto_no_fvg,-0.003,0.00019,5.3,5.3,NORMAL,C,0.0154,above_ema200,False,normal,0.005207,19.0,0.4976,0.00016,492.0,False,8.71531867980957,,,,,,,,,1,1,0,7.104217767715454,,False,500.92096614837646,DOWN
CRASH500,MULTDOWN,2026-05-26T17:51:53.638135+00:00,2026-05-26T18:02:42.027023+00:00,1779817913.6381347,1779818562.0270233,648.389,2.0,0.15,win,ratchet_hit,heartbeat_poll,846157139,0.0,1e-05,0.0149,6.15,6.0,0.15000000000000036,1.5,1.5,0.75,1.0,1e-06,0.488,calm,TREND,dynamic_soft_veto_no_fvg,0.297,9e-05,5.3,5.3,NORMAL,C,0.0149,above_ema200,False,normal,0.004559,2.0,0.4879,0.00015,434.0,True,11.396134614944458,,,,,,,,,2,2,0,158.5534851551056,,False,445.40770983695984,DOWN
CRASH500,MULTDOWN,2026-05-26T18:13:34.948225+00:00,2026-05-26T18:16:00.460178+00:00,1779819214.9482248,1779819360.4601777,145.512,2.0,0.47,win,timeout_multispike,ws_event,847204819,0.0,1e-05,0.0166,6.473,5.8,0.673,1.5,1.12,0.75,1.7,2e-06,0.478,trending,TREND,dynamic_soft_veto_no_fvg,0.208,0.00015,5.3,5.3,NORMAL,B,0.0166,above_ema200,False,normal,0.006372,76.0,0.4738,0.00016,433.0,True,52.359224796295166,,,,,,,,,1,1,0,98.25944900512695,,False,485.68806982040405,DOWN
CRASH500,MULTDOWN,2026-05-26T18:25:36.559597+00:00,2026-05-26T18:40:55.891717+00:00,1779819936.559597,1779820855.8917172,919.332,1.8,-0.65,loss,broker_sl_hit,ws_event,847800959,0.0,1e-05,0.0161,5.867,5.8,0.06700000000000017,1.5,1.28,0.0,1.69,2e-06,0.481,trending,TREND,dynamic_soft_veto_no_fvg,0.288,6e-05,5.3,5.3,NORMAL,C,0.0161,above_ema200,False,normal,0.005717,55.0,0.48,0.00016,405.0,True,53.84359693527222,,,,,,,,,1,1,0,578.6548492908478,,False,459.3288719654083,DOWN
CRASH500,MULTDOWN,2026-05-26T18:42:18.522315+00:00,2026-05-26T18:56:29.941943+00:00,1779820938.5223145,1779821789.9419427,851.42,1.8,-0.65,loss,broker_sl_hit,ws_event,848657499,0.0,1e-05,0.0161,5.843,5.8,0.04300000000000015,1.5,0.91,0.75,1.28,2e-06,0.493,trending,TREND,dynamic_soft_veto_no_fvg,0.288,0.00018,5.3,5.3,NORMAL,C,0.0161,above_ema200,False,normal,0.006179,57.0,0.493,0.00017,387.0,False,35.852314472198486,,,,,,,,,0,0,0,,,False,423.3078682422638,DOWN
CRASH500,MULTDOWN,2026-05-26T18:56:48.369464+00:00,2026-05-26T19:01:05.425753+00:00,1779821808.3694644,1779822065.4257534,257.056,2.0,0.7,win,timeout_multispike,ws_event,849419899,0.0,1e-05,0.0163,5.192,3.5,1.6920000000000002,1.5,0.54,0.75,1.0,1e-06,0.471,calm,TREND,dynamic_soft_veto_no_fvg,-0.183,0.0002,5.3,5.3,NORMAL,C,0.0163,above_ema200,False,normal,0.004766,2.0,0.4707,0.00016,1287.0,False,5.614464282989502,,,,,,,,,1,1,0,209.89168310165405,,False,1293.1550180912018,DOWN
CRASH500,MULTDOWN,2026-05-26T19:22:27.895861+00:00,2026-05-26T19:38:57.916891+00:00,1779823347.895861,1779824337.916891,990.021,2.0,-0.72,loss,broker_sl_hit,ws_event,850721979,0.0,1e-05,0.0167,6.596,5.8,0.7960000000000003,1.5,1.4,0.75,1.55,2e-06,0.476,trending,TREND,dynamic_soft_veto_no_fvg,0.293,0.00016,5.3,5.3,NORMAL,B,0.0167,above_ema200,False,normal,0.006048,42.0,0.4746,0.00017,404.0,True,44.887861013412476,,,,,,,,,2,2,0,41.30330276489258,,True,449.70816349983215,DOWN
CRASH500,MULTDOWN,2026-05-26T19:40:29.135031+00:00,2026-05-26T19:42:55.369335+00:00,1779824429.1350312,1779824575.3693347,146.234,2.0,0.46,win,timeout_multispike,ws_event,851668479,0.0,1e-05,0.0162,5.805,5.8,0.004999999999999893,1.5,1.39,0.75,0.76,2e-06,0.5,trending,TREND,dynamic_soft_veto_no_fvg,-0.27,0.0002,5.3,5.3,NORMAL,C,0.0162,above_ema200,False,normal,0.005586,5.0,0.5,0.00018,935.0,True,46.24803113937378,,,,,,,,,1,1,0,99.04723000526428,,False,981.9697060585022,DOWN
