symbol,side,entry_time_utc,exit_time_utc,opened_at_ts,closed_at_ts,duration_sec,stake_usdt,pnl_usdt,result,exit_reason,closed_by,contract_id,max_hold_seconds,spread_at_entry,ema200_distance_at_entry_pct,score_raw,effective_min_score,score_margin,trend,momentum,stability,atr_score,atr_pct,hurst,regime,setup_type,fvg_tier,geo_channel_pos,geo_slope_pct,dynamic_score_min,dynamic_score_ceiling,dynamic_cfg_regime,execution_grade,ema200_dev_pct,ema_state,ema_trade_alignment,ctx_regime,ctx_atr,ctx_atr_percentile,ctx_hurst,ctx_ema200_distance_pct,ctx_ticks_since_last_spike,ctx_spike_cluster_active,ctx_delta_s,ai_approved,ai_confidence,ai_score,ai_hurst,ai_autocorr,ai_vol_regime,ai_model,ai_delta_s,spikes_during_trade,favorable_spikes_during,adverse_spikes_during,first_favorable_spike_delay_s,first_adverse_spike_delay_s,spike_cluster_seen_during,last_spike_before_open_delay_s,last_spike_before_open_dir
BOOM1000,MULTUP,2026-05-26T13:58:02.325206+00:00,2026-05-26T14:12:25.375207+00:00,1779803882.3252063,1779804745.3752072,863.05,4.5,0.56,win,timeout_multispike,ws_event,835077739,0.0,1e-05,-0.0084,5.587,3.5,2.0869999999999997,1.5,1.44,0.75,1.0,1e-06,0.532,calm,TREND,dynamic_soft_veto_no_fvg,0.455,-0.0001,5.3,5.3,NORMAL,C,-0.0084,below_ema200,False,,,,,,,,,,,,,,,,,0,0,0,,,False,,
CRASH600,MULTDOWN,2026-05-26T13:59:02.991233+00:00,2026-05-26T14:32:18.293348+00:00,1779803942.9912333,1779805938.2933483,1995.302,2.0,-0.72,loss,broker_sl_hit,ws_event,835122599,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,5,5,0,1204.2206091880798,,True,,
BOOM600,MULTUP,2026-05-26T14:07:29.718961+00:00,2026-05-26T14:25:22.582649+00:00,1779804449.7189612,1779805522.5826485,1072.864,1.5,-0.54,loss,broker_sl_hit,ws_event,835515779,0.0,1e-05,-0.0141,5.905,5.8,0.10500000000000043,1.5,1.07,0.75,1.19,2e-06,0.493,trending,TREND,dynamic_soft_veto_no_fvg,-0.311,-0.00011,5.3,5.3,NORMAL,C,-0.0141,below_ema200,False,,,,,,,,,,,,,,,,,0,0,0,,,False,,
CRASH900,MULTDOWN,2026-05-26T14:11:36.659971+00:00,2026-05-26T14:25:22.724319+00:00,1779804696.6599715,1779805522.7243187,826.064,1.5,0.45,win,timeout_multispike,reaper_poll,835706859,0.0,1e-05,0.0089,5.502,3.5,2.002,1.5,0.57,0.75,1.78,1e-06,0.479,calm,TREND,dynamic_soft_veto_no_fvg,0.284,2e-05,5.3,5.3,NORMAL,C,0.0089,above_ema200,False,,,,,,,,,,,,,,,,,1,1,0,764.7038478851318,,False,,
BOOM900,MULTUP,2026-05-26T14:11:41.421797+00:00,2026-05-26T14:38:02.455874+00:00,1779804701.4217966,1779806282.455874,1581.034,1.5,-0.54,loss,broker_sl_hit,ws_event,835710539,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,0,0,0,,,False,,
CRASH1000,MULTDOWN,2026-05-26T14:12:56.073359+00:00,2026-05-26T14:17:48.429570+00:00,1779804776.0733585,1779805068.42957,292.356,2.0,0.26,win,timeout_multispike,ws_event,835764239,0.0,1e-05,0.0087,5.373,3.5,1.8730000000000002,1.5,1.02,0.75,1.0,1e-06,0.444,calm,TREND,dynamic_soft_veto_no_fvg,-0.082,0.00011,5.3,5.3,NORMAL,C,0.0087,above_ema200,False,,,,,,,,,,,,,,,,,1,1,0,245.14314913749695,,False,,
CRASH500,MULTDOWN,2026-05-26T14:23:47.081298+00:00,2026-05-26T14:54:11.445215+00:00,1779805427.0812984,1779807251.445215,1824.364,1.44,-0.52,loss,broker_sl_hit,ws_event,836237019,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.005731,64.0,0.4802,0.00015,419.0,True,49.8502984046936,,,,,,,,,11,11,0,107.39578604698181,,True,468.8862247467041,DOWN
CRASH1000,MULTDOWN,2026-05-26T14:27:06.832669+00:00,2026-05-26T14:29:58.478765+00:00,1779805626.8326693,1779805798.4787648,171.646,1.8,0.36,win,timeout_multispike,ws_event,836380379,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.005407,31.0,0.5001,9e-05,572.0,False,32.391669273376465,,,,,,,,,2,2,0,94.58724164962769,,True,92.0183494091034,DOWN
BOOM1000,MULTUP,2026-05-26T14:30:14.955481+00:00,2026-05-26T14:34:20.434807+00:00,1779805814.9554808,1779806060.4348073,245.479,4.0,0.81,win,timeout_multispike,ws_event,836519799,0.0,1e-05,-0.0084,5.304,3.5,1.8040000000000003,1.5,0.75,0.75,1.65,1e-06,0.453,calm,TREND,dynamic_soft_veto_no_fvg,-0.647,-9e-05,5.3,5.3,SLOW,C,-0.0084,below_ema200,False,normal,0.014255,75.0,0.4531,-9e-05,,False,33.73348093032837,,,,,,,,,1,1,0,233.2699339389801,,False,280.5507621765137,UP
CRASH900,MULTDOWN,2026-05-26T14:33:18.044874+00:00,2026-05-26T14:50:05.309672+00:00,1779805998.0448744,1779807005.309672,1007.265,1.84,0.62,win,timeout_multispike,ws_event,836666419,0.0,0.0,,,,,,,,,,,,,,,,,,,?,,,,normal,0.023703,80.0,0.4985,0.0001,499.0,True,36.71687436103821,,,,,,,,,4,4,0,313.69538164138794,,True,276.6966543197632,DOWN
